left_superior_temporal_gyrus_posterior_anterior_heschls_gyrus_,right_superior_temporal_gyrus_anterior_posterior_heschls gyrus,left_precentral_postcentral_gyrus,left_parietal_operculum_plan_temporale,right_lingual_gyrus_temporal_occipiral_fusiform
15.99839373,28.91243018,-36.84708236,-20.72732174,-1.838815948
0.285108699,0.235229257,0.096517714,0.087676702,0.150572005
24.17167515,25.63585169,0.56481164,6.693014674,-2.513398649
0.793863144,0.88250593,0.576431219,0.662831734,0.195537173
0.345973819,0.154704699,0.330181559,0.682699922,0.306110824
0.353780739,0.344999912,0.170403124,-0.000160631,-0.037333694
0.347711067,0.385385945,0.186197209,0.381339469,0.055435137
40.04451588,38.21035402,-6.972929733,60.30264899,-12.68172745
32.75868036,48.01056985,23.03823131,-3.552190613,5.310451679
24.14531459,17.13415376,15.01011237,-11.17531225,6.568022968
42.39219722,43.93314546,-6.343096458,43.2068216,-20.82533057
33.27220365,69.62691915,14.77702037,18.96110716,5.273004543
35.70576066,41.16227562,17.50564198,24.40617054,0.686734662
30.1635741,16.07190914,-15.26838631,11.61831023,13.22904707
21.10901577,15.51921611,15.08806757,29.09979924,-4.172935303
37.36078473,37.88982437,26.46469274,11.71530258,10.64844746
20.98294397,27.58143801,-19.18562777,30.40672075,2.297729163
29.71640339,40.69794452,1.358594365,-0.029020288,-0.794912269
14.17564545,13.37562485,10.77894626,22.7725347,-0.953575652
35.97901044,30.05989546,57.5792142,44.07180749,21.8468561
0.396174938,0.664518229,0.550800631,0.723734978,0.239275206
4.93184628,3.806689706,25.13179573,9.781759481,7.501544077
33.89809996,34.25681326,44.97636802,26.18089983,3.094619324